6.8079,7.1723,7.3182,6.089,6.8336,7.1646,7.2125,6.7489,6.75,7.2289,7.2209,6.958,7.1837,7.2146,7.2221,6.8958,7.219,6.726,6.7589,7.344,6.9916,6.837,6.7449,6.9575,6.8637,7.0909,6.5797,7.1257,7.0349,6.2802,7.1279,6.2093,6.8668,6.9192,6.8745,6.8783,6.9497,6.4857,6.9237,6.878,6.994,6.8475,6.8733,6.7069,6.9098,7.1063,7.372,6.7542,6.6705,7.1182,6.6842,6.6601,7.3382,6.9227,6.501,7.064,6.8553,6.8019,6.6809,6.9238,6.2951,7.1355,7.1645,7.2158,7.0741,7.0601,6.9884,7.4088,7.4345,7.0489,7.1406,7.2443,7.0419,7.3499,7.3851,7.2906,6.8038,7.0615,6.803,6.7531,7.3674,7.2657,7.1938,7.3398,7.0824,7.1708,7.2821,6.3054,7.2415,7.2747,6.9749,7.0744,6.9408,6.8989,7.1016,6.8769,6.996,6.9293,6.9704,6.8142,7.0374,6.9441,6.9631,7.1683,7.1553,6.9425,7.0963,6.5557,7.5268,7.2851,7.2627,6.4622,7.2108,6.5423,6.3832,7.0318,6.7813,6.8343,6.829,7.1121,7.2132,7.1675,7.2135,7.0141,6.3682
9.415,6.9504,10.343,8.8247,9.5617,6.8927,6.8331,7.1552,7.2001,6.92,6.7815,9.9517,7.501,6.8705,6.7971,7.4024,6.8671,7.2703,7.0809,10.386,9.4351,7.2634,9.5363,9.579,9.2276,6.7303,7.0084,6.7085,7.0587,6.9164,6.6196,8.7605,9.1957,9.8491,7.1116,7.1806,7.1057,6.7909,9.2294,6.8838,9.3094,6.8835,9.5938,6.9362,7.0699,7.2549,10.225,9.5639,6.9626,6.7286,9.0779,6.9559,10.249,7.4096,6.8712,6.6948,9.5217,7.3548,6.8966,9.2021,6.7567,6.6806,6.6205,7.2884,7.3514,7.3029,9.6425,6.7931,6.8922,9.2796,7.2713,9.9313,7.0778,6.7893,7.2545,9.8904,9.5748,7.4632,9.0264,6.7972,6.827,6.6485,6.6074,7.3092,7.359,7.1964,6.6481,8.7771,9.8998,6.5544,7.3217,9.6037,7.1524,9.2553,6.8415,9.5279,9.2726,9.2449,9.6391,7.1945,6.474,6.8842,7.1609,6.682,6.6191,9.4296,9.3201,6.9323,10.299,9.6909,6.6561,6.9459,6.9815,6.7581,6.8912,7.2826,9.0701,7.1374,9.0914,6.9205,6.6028,7.058,6.6987,7.0422,6.7133
4.9796,0,4.4383,5.1829,4.9409,0,0,0,5.665,7.8792,4.2883,5.1397,0,0,0,5.6451,0,7.2507,0,4.3979,5.0446,0,5.414,4.8902,4.6437,0,0,4.4374,0,5.5144,0,4.7999,4.5443,4.878,5.1144,0,4.4906,5.0248,4.7888,4.5575,4.5011,4.4746,0,0,4.5204,5.1294,4.3893,4.497,0,0,4.6327,7.4012,0,6.7905,7.3445,7.6645,4.3407,4.3517,5.5096,4.3699,5.4348,0,0,0,0,0,4.7222,0,0,4.7278,0,4.5998,4.4479,0,4.7819,4.5182,5.0755,6.6403,5.2496,4.7841,0,0,0,0,6.7056,0,0,4.941,4.5539,0,0,4.8614,0,4.4575,4.3807,4.6878,4.3167,0,0,0,0,4.9312,0,7.5084,0,4.8576,4.723,5.04,4.4287,4.4789,0,5.1589,0,5.0223,5.0525,4.4049,4.8177,0,4.8402,0,0,5.1238,0,5.1535,5.5213
7.3285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1855,0,0,0,0,0,0,0,0,0,0,0,0,7.0118,0,0,0,0,0,0,6.7665,0,0,0,0,0,0,0,0,0,0,6.8617
7.116,5.3833,6.2811,6.9484,6.8541,5.698,5.3293,5.73,6.0897,6.214,5.8125,7.229,5.4346,5.3477,5.9935,6.2757,6.0637,6.3102,5.623,6.3425,7.2711,5.4015,7.5662,6.792,6.7991,5.2404,5.2525,5.2076,5.9425,5.7008,5.6579,6.8098,6.9461,6.9559,5.041,5.8148,5.1067,5.1492,6.0932,4.8183,6.226,4.8327,6.9739,5.4991,5.0749,5.2194,6.7146,6.9556,5.112,4.9203,6.7399,5.9362,6.6439,5.7316,5.9302,5.8131,6.884,5.65,5.9031,6.1918,5.4824,5.309,5.0101,5.3632,5.1207,5.1619,7.1188,5.2865,5.5652,7.2389,5.9036,5.4319,4.9624,5.3536,5.3766,5.414,7.3089,5.8777,7.8806,5.21,4.9579,5.3868,5.3279,5.3976,5.9098,5.8469,5.688,6.7983,5.3923,5.7708,5.7427,6.8365,5.8843,6.8431,4.6911,6.9849,6.8152,6.8674,7,5.6011,5.2703,4.8968,5.917,5.8937,4.8258,6.7491,6.2466,4.9523,6.8142,6.1575,5.3373,5.0751,5.991,5.2426,5.0154,5.1855,6.7205,5.8874,6.767,5.9395,5.294,5.3851,5.1631,4.995,5.6411
8.1441,5.5131,7.7923,8.2632,8.1372,5.6231,5.7092,0,5.8149,5.5691,5.77,7.6721,5.2724,5.6267,5.705,6.0568,5.7308,0,0,7.7467,7.2326,0,8.2617,8.15,7.2311,5.5015,0,5.566,5.311,5.5559,5.5815,7.6195,7.0962,7.4148,0,0,0,5.3328,7.2159,5.2448,7.5987,5.4115,7.7729,0,0,5.902,6.5551,7.8746,0,5.33,7.7476,0,6.5235,0,0,5.5681,7.1189,5.5046,5.9413,7.8073,5.5779,5.8771,5.8483,5.2779,0,0,8.1456,5.5268,5.6136,7.9148,0,8.4138,5.3144,5.5839,5.9249,8.3894,8.2186,0,8.0843,5.564,5.4523,5.9248,6.0231,5.5533,0,0,5.7737,8.0554,8.3858,5.8016,5.6236,7.4811,0,0,5.477,7.9434,7.1979,7.8249,7.8613,5.3322,5.7353,0,5.287,5.7694,5.4903,8.0408,6.9816,0,6.6015,7.6742,5.3679,5.3492,5.4777,5.3318,5.4491,5.2874,7.876,0,7.1946,5.3744,5.5978,5.8287,5.9486,0,5.5625
7.5755,0,7.069,7.6681,8.6271,0,0,0,0,0,0,8.2243,0,0,0,0,0,0,0,0,7.6489,0,8.0936,7.903,0,0,0,0,0,0,0,7.1148,0,7.3436,0,0,0,0,7.2157,0,0,0,7.519,0,0,0,0,7.2668,0,0,7.4169,0,0,0,0,0,7.561,0,0,7.0344,0,0,0,0,0,0,8.1465,0,0,7.6251,0,7.8831,0,0,0,7.9106,0,0,8.0967,0,0,0,0,0,0,0,0,7.157,7.9746,0,0,7.7654,0,7.3271,0,7.6477,7.3335,0,8.3005,0,0,0,0,0,0,7.965,7.3317,0,0,0,0,0,0,0,0,0,7.2875,0,7.6406,0,0,0,0,0,0
3.0949,0,2.4177,3.1498,3.2945,2.2267,0,0,2.5899,2.6537,2.9156,2.7697,2.4975,0,2.3374,2.5509,0,2.9695,0,2.6126,3.2287,0,3.1126,3.2101,3.412,0,0,0,2.7794,2.7108,2.6891,3.4823,3.2757,2.7457,0,2.4696,0,0,3.2781,2.1907,3.0432,0,3.0211,0,0,2.5091,2.3759,3.2031,0,0,3.2648,3.1709,2.9428,0,2.7754,2.1869,3.3677,2.4888,2.9992,3.2913,3.2192,2.2169,2.5136,0,0,0,3.0227,0,0,3.6047,2.3513,2.844,0,0,2.4957,2.7769,2.9178,0,2.9862,0,0,2.08,0,2.1,0,2.8491,0,3.9137,3.5748,2.509,7.5301,3.4475,0,3.201,0,3.6281,3.4915,3.3787,3.054,7.4587,2.5142,0,0,6.8982,0,3.295,2.9385,0,2.7405,2.5979,0,2.1432,2.4911,0,2.2449,0,2.9506,0,3.2545,0,0,2.4332,0,0,2.5985
6.6891,5.3444,6.2965,7.0947,6.711,5.4594,5.7377,5.8538,5.8284,6.3592,5.5298,6.1738,5.2447,5.3734,5.4235,5.8554,5.5206,5.9689,5.8073,6.2765,7.1638,5.8903,6.6384,6.7343,6.8269,0,5.6713,0,6.0003,5.2095,5.329,7.0413,6.5246,6.1109,0,6.0197,0,0,7.0219,0,6.2385,0,6.5296,5.7217,0,5.5206,5.7761,6.5415,5.649,5.3827,6.1347,5.93,5.7383,5.3633,5.8491,6.1859,6.4624,6.2705,5.579,6.2347,5.3555,0,5.5974,5.3269,5.3947,5.4863,6.898,0,5.7037,7.2292,6.2636,6.2563,0,5.3364,5.9307,6.2709,6.84,5.5144,6.3233,5.2462,5.4258,5.6636,5.8282,5.23,5.4869,6.3109,5.3965,7.2773,6.2493,5.2754,6.4496,6.3324,5.5844,6.6528,0,6.3101,7.0772,7.1329,6.7997,6.4771,5.5892,0,5.5934,6.3264,0,6.3785,6.47,0,6.0837,6.4213,5.5771,0,6.1332,0,0,5.5105,6.3959,5.5897,6.3422,6.1511,5.5211,5.8572,5.9242,0,5.7689
9.1204,7.0589,10.139,9.3153,9.087,5.9383,4.9613,7.9692,7.9112,8.2379,8.1047,9.4624,8.0337,7.0117,6.3044,7.9837,6.2945,9.1529,7.8663,10.164,9.2051,6.8048,9.4425,9.1202,8.1096,6.3343,6.4923,6.3734,8.0278,8.4812,7.8895,9.1891,8.9812,9.9657,7.4742,8.1602,5.8531,6.775,8.376,7.1887,8.7974,7.244,9.231,7.7049,5.9286,6.6564,10.17,9.0921,6.474,6.6416,8.5138,8.9034,10.173,6.7309,8.8778,7.9103,9.2291,8.4744,7.4594,8.8326,8.4066,6.714,0,7.7011,6.714,6.6729,9.0879,6.3875,5.6481,9.035,8.8535,9.3065,5.8323,5.1242,6.6136,9.3074,9.4169,6.7707,9.3055,6.7528,6.6889,7.1471,7.1877,7.5421,6.8481,8.8514,5.9735,9.1757,9.3178,7.8144,4.9721,9.8653,7.3725,8.9268,7.2918,9.1247,8.8264,8.8559,9.2054,7.8372,7.1413,7.2715,7.2842,7.4248,6.5078,8.9789,8.9094,7.8899,10.214,9.9391,5.4205,7.9223,7.9816,6.7973,7.8259,6.8262,8.564,7.3962,8.5905,8.0189,5.3669,6.7659,4.8558,7.4277,8.5583
