"","mzmed","mzmin","mzmax","rtmed","rtmin","rtmax","npeaks","BLANK","STDMIX","QC","QCb","QCp","QCs","MERs2","41Bp1","VCAs2","NEROs1","GWTs2","GWTp2","SAUp2","VCIp2","RIEb1","ISAp2","MOTp2","VATs1","41Bb3","RIEp1","41Bp3","RIEb3","RIEp3","ISAb2","VCIp3","VCAs1","SAUs3","VCAp1","ISAs1","GWTs1","RIEs3","MORp3","VCAp3","MORp2","NEROp3","MOTb2","MOTp1","NEROs3","MERs3","VATs3","KBBb1","VCIb3","MERb3","GWTb3","SAUs2","MORb1","MORs3","MORb3","41Bs3","VCIp1","MERb2","SAUb3","KBBs1","MOTs3","VCAp2","KBBp2","F3P51s1","ISAb3","KBBs2","VATb2","ISAb1","ISAp3","41Bs2","NEROb1","RIEb2","MORs2","MOTb1","GWTb1","41Bp2","SAUp1","41Bb2","VCAb3","VCAb2","MOTs2","MORp1","GWTp3","SAUs1","VCIb2","VCIs3","MERb1","MERp1","SAUb1","VCIs1","ISAs2","VATb1","ISAs3","KBBp1","F3P51p3","F3P51p2","41Bb1","VATb3","VCIb1","RIEp2","NEROs2","VCIs2","MOTp3","NEROb2","VATs2","VATp3","MERs1","MORb2","MOTs1","RIEs2","RIEs1","41Bs1","NEROb3","F3P51p1","KBBb2","VATp2","ISAp1","KBBp3","GWTs3","MORs1","F3P51b1","KBBs3","VCAs3","MERp2","F3P51b3","NEROp2","GWTb2","F3P51b2","VCAb1","F3P51s2","VATp1","F3P51s3","NEROp1","MERp3","SAUb2","SAUp3","KBBb3","MOTb3"
"550",546.126116006008,546.126116006008,546.126116006008,868.261986,868.261986,868.261986,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"551",546.168634749983,546.168634749983,546.168634749983,1246.601028,1246.601028,1246.601028,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"552",546.204500086929,546.203532634345,546.205763796072,1155.62496,1154.371032,1158.896028,25,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"553",546.205144577675,546.203509452183,546.205182964403,931.849068337258,930.573978,932.475531,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"554",546.204262082861,546.203877485764,546.204701513147,1000.563012,999.901595724116,1024.66441433988,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"555",546.407034621864,546.296330263573,546.415970057131,1388.14658645445,1386.88181255464,1390.305978,123,1,3,6,6,3,4,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
"556",547.216810794594,547.215789732697,547.222836160628,996.72798,994.168968,998.63697,15,0,0,0,0,0,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"557",547.216338291583,547.200357678819,547.222092385252,1129.00151660027,1124.547042,1161.474036,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"558",547.21634983658,547.21634983658,547.21634983658,1207.1972270511,1207.1972270511,1207.1972270511,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"559",547.382713297556,547.296383177674,547.386332556819,1361.682591,1360.395012,1377.915003,147,2,5,7,5,4,6,1,1,1,1,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
