"","mzmed","mzmin","mzmax","rtmed","rtmin","rtmax","npeaks","Albendazole","All_4_Pools","Ancitabine","Aspirin","Atrazine","BetaEstradiol","BisphenolA","BLANK","Bortezomib","Chloroquine","Control","Daidzein","Dexamethasone","Diethylstilbestrol","Dimephentioate","Diuron","Erlotinib","Gefitinib","Genistein","Glyphosate","Hydrocortisone","Ibuprofen","Lapatinib","Mebendazole","NVP-BEZ235","Octylmethoxycinnamate","Phthalate","PoolBatch1","PoolBatch2","Prednisolone","Quercetin","Rapamycin","Tamoxifen","PoolBatch3","PoolBatch4","Thiram","TrichostatinA","Vinblastine","Vincristine","Vorinostat","Wortmannin"
"7338",807.62971972469,807.533453818137,807.635017567522,1109.45191823553,1103.06389873958,1141.17990694699,183,3,10,2,3,3,3,3,21,2,3,23,3,2,3,3,2,3,3,3,2,2,3,3,15,3,2,3,6,7,2,3,2,3,7,5,3,3,3,3,2,3
"7339",807.555223262708,807.508512513915,807.71518382222,597.668149173587,593.698046810796,603.654042349003,22,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,2,0,0,4,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0
"7340",807.634558674919,807.633307211588,807.640330777542,1261.28748556486,1259.47498292003,1263.63519384109,16,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"7341",808.260577394583,808.2598831682,808.261747051845,890.817156879299,888.86217145885,891.644110333847,44,1,1,1,0,0,0,1,9,0,1,7,1,0,0,0,0,0,1,1,1,1,0,0,2,1,0,2,3,3,0,2,0,0,2,1,0,0,0,0,1,1
"7342",808.266626753853,808.265596900651,808.26942210754,949.32508078013,947.100297507978,955.95748892548,23,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,2,0,0,0,0,2,0,0,3,0,0,0,0,0,1,3,2,0,0,3,0,0,2,0,0,1
"7343",808.456908131145,808.456609622264,808.458553352349,727.617507976806,727.489340956113,727.861481757102,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7344",808.39224351205,808.390763120716,808.551736981766,622.402476065465,595.938432322963,622.898188421992,24,0,10,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0
"7345",808.582647592634,808.58190476435,808.740847988434,1125.18298126417,1110.33113760209,1130.41977471686,205,3,10,3,3,3,3,3,25,3,3,24,3,3,3,3,3,3,3,3,3,3,3,3,15,3,3,3,8,8,3,3,3,3,8,8,3,3,3,3,3,3
"7346",808.583442582845,808.508610031666,808.742830384284,1241.83370824242,1223.50003047095,1263.08838604253,220,3,10,3,3,3,3,3,25,3,3,24,3,3,3,3,3,3,3,3,3,3,3,3,15,3,3,3,8,8,3,3,3,3,8,8,3,3,3,3,3,2
"7347",808.669012079626,808.665606866466,808.67899293673,993.080551389417,991.578753150984,1002.69845266809,14,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0
"7348",808.924111850902,808.904098196774,808.926950276576,911.537100373254,910.739737918207,912.881315277227,32,0,0,0,0,1,1,0,1,2,1,5,0,0,0,0,3,0,1,0,1,1,0,0,4,0,1,0,1,0,1,0,1,0,0,4,0,1,2,0,0,0
"7349",809.012622227059,808.929138517119,809.015662600202,48.3691402990242,22.7462528429292,52.5193961212349,127,3,10,1,3,2,2,3,0,1,3,11,0,2,2,3,2,3,3,2,3,1,3,3,12,3,1,2,0,8,3,2,3,1,8,8,2,2,3,3,0,0
"7350",809.397964824198,809.392521845988,809.544153688477,622.382022156174,592.924670670689,633.954710546633,28,0,10,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,3,0,0,0
"7351",809.588830237765,809.534293566605,809.744009965003,1124.95250477935,1111.05737723773,1130.12251070172,203,3,9,3,3,3,3,3,25,3,3,23,3,3,3,3,3,3,3,3,3,3,3,3,15,3,3,3,8,8,3,3,3,3,8,8,3,3,3,3,3,3
"7352",809.587318296954,809.510330149062,809.751074103168,1239.63409362874,1223.50003047095,1262.02088151053,188,3,9,3,3,3,3,3,19,1,3,23,3,3,3,3,3,3,3,3,3,2,3,2,15,3,3,2,7,8,3,3,2,2,6,8,3,2,3,1,2,2
"7353",810.013390567128,809.992319529163,810.021358902652,48.0686432921447,45.5345763473725,51.3828145854501,41,0,0,0,2,0,0,0,0,0,0,5,0,0,0,1,1,2,0,0,1,0,2,0,9,2,0,0,0,7,1,1,0,0,0,0,0,1,3,3,0,0
"7354",810.455418028804,810.431252825434,810.457461863745,727.63933718049,725.781522033169,728.785945462237,20,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,2,0,0,0,2,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,2
"7355",810.385704575468,810.276358489714,810.415122771233,622.173502769901,595.062442450391,635.402748318403,23,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0
"7356",810.54341756956,810.520721259149,810.753914255797,1249.1866463524,1222.60539378511,1262.52949070033,235,3,10,3,3,3,3,3,21,3,3,24,3,3,3,3,3,3,3,3,3,3,3,3,15,3,3,3,8,8,3,3,3,3,8,8,3,3,3,3,3,3
"7357",810.597367192927,810.589168924578,810.72175862885,1110.05626755372,1105.86875480628,1146.04172476866,233,3,10,3,3,3,3,3,25,3,3,24,3,3,3,3,3,3,3,3,3,3,3,3,15,3,3,3,8,8,3,3,3,3,8,8,3,3,3,3,3,3
"7358",811.10714632043,811.105543905646,811.107487667167,865.643973588886,863.926308855281,866.345326012706,20,0,1,0,0,0,2,0,1,0,0,3,1,0,0,0,0,0,1,0,0,2,1,0,2,0,0,0,1,0,0,0,1,0,0,3,0,1,0,0,0,0
"7359",811.217655102755,811.014533521344,811.225135372643,34.3897122745204,17.6139811648914,47.6756153057086,65,3,1,0,0,0,0,2,0,3,3,6,2,3,1,3,1,0,1,2,0,2,1,0,2,1,3,0,6,0,0,1,1,3,8,0,1,0,1,2,0,2
"7360",811.232091207578,811.031881878119,811.25757144739,632.682688666796,615.06242417203,635.081704355974,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"7361",811.271623108384,811.271302952164,811.271958060255,315.030255913751,311.844532787549,321.811569107436,10,0,0,0,0,0,0,1,0,0,2,1,0,1,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7362",811.42421236559,811.265370168568,811.431663023028,604.308364286701,595.925936740699,622.312783618837,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,8,0,0,3,0,0,0
"7363",811.457767844847,811.424926708331,811.462168321341,727.63933718049,727.417431742914,728.303814275136,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2
"7364",811.631150683993,811.597886137527,811.718395726519,1106.51876772777,1102.58611859624,1143.14239018571,209,3,10,3,3,3,3,3,25,3,3,24,3,3,3,3,3,3,3,3,3,3,3,3,15,3,3,3,8,8,3,3,3,3,8,8,3,3,3,3,3,3
"7365",811.53211902259,811.511229176984,811.683227814429,1249.76186389361,1244.74069907553,1263.87079984886,199,3,10,3,3,3,3,3,21,3,3,24,3,3,3,3,3,3,3,3,3,3,3,3,14,3,3,3,8,8,3,3,3,2,8,8,3,3,3,3,3,3
"7366",812.330176393737,812.326658446932,812.330276342302,366.817079300902,366.505672798881,367.770336488169,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"7367",812.378419419161,812.352081239167,812.429875117959,621.511616824245,603.251156509297,634.485311045104,23,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,7,8,0,0,3,0,0,0
"7368",812.506386715622,812.445825171446,812.506811872841,1245.88202557816,1226.66856805984,1248.44627159316,5,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"7369",812.540569915492,812.534940207127,812.544169411543,1014.95683700905,1014.02086936403,1015.98477284706,157,3,7,3,2,3,2,0,24,3,1,17,3,3,2,1,2,2,1,3,2,3,3,2,12,3,3,0,5,8,2,1,3,3,8,4,2,1,2,3,3,2
"7370",812.616181732744,812.564682938638,812.693596262461,1132.44661412723,1126.97160483369,1139.84251011443,150,3,7,3,2,3,2,1,22,3,1,13,2,3,1,1,2,3,1,3,2,2,3,3,11,3,3,0,7,6,2,1,3,2,8,5,2,1,2,3,3,2
"7371",812.58358220867,812.508509107785,812.698679939265,1244.32295988962,1214.40111389454,1264.9512189571,214,3,10,3,3,3,3,2,25,3,1,24,3,3,3,3,3,3,2,3,3,3,3,3,15,3,3,3,8,8,3,3,3,3,8,8,3,3,3,3,3,3
"7372",812.670551586238,812.539521098843,812.671455889947,1104.80752338892,1099.99462838689,1111.88043568127,113,2,6,1,2,1,1,2,11,1,3,13,2,1,2,2,3,1,2,1,2,1,1,2,11,2,1,3,3,4,1,2,2,2,3,4,3,3,3,2,0,1
"7373",812.939746868089,812.938434706826,812.940246230369,965.726375462337,963.278342927782,972.741413599427,31,0,0,0,0,0,2,0,0,2,0,4,0,0,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,2,0,0,4,0,1,3,0,0,1
"7374",813.196730809902,813.18693571868,813.199961992866,35.9620702961784,22.2793417736352,38.0983473564476,114,0,8,3,3,1,2,3,0,0,1,13,1,1,3,0,3,3,3,2,3,2,2,3,13,2,0,3,0,8,3,2,3,1,2,6,2,2,3,3,0,1
"7375",813.370771412641,813.355857664297,813.435379244726,622.06471111827,603.283678576779,633.511965128712,14,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,3,0,0,0
"7376",813.330559527798,813.330492655548,813.330730794752,367.501465597243,366.505672798881,367.770336488169,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7377",813.544233654346,813.527544656485,813.547183469387,1014.98963872877,1014.02086936403,1015.98477284706,151,3,7,3,1,3,2,0,24,3,1,17,3,2,2,1,2,2,1,3,2,3,3,2,11,3,3,0,5,5,2,1,3,3,8,4,2,1,2,3,3,2
"7378",813.682561729049,813.514847873761,813.685970258154,1257.14824379219,1225.71298910361,1263.21861489272,235,3,10,3,3,3,3,3,25,3,2,24,3,3,3,3,3,3,3,3,3,3,3,3,15,3,2,3,7,8,3,3,3,3,8,8,3,3,3,3,3,3
"7379",813.677888291903,813.514013702508,813.68354475293,1107.95331536941,1102.68681000428,1134.05625225434,195,3,9,3,3,3,3,2,25,3,3,22,3,3,2,3,3,3,3,3,3,3,3,3,14,3,3,3,7,8,2,3,3,3,8,7,3,2,3,3,3,3
"7380",814.199979852878,814.196920306788,814.205938417607,36.9247183355269,27.0497872731431,37.6952911000749,15,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,1,1,0,0,0,0,0,2,1,0,0
"7381",814.239298810154,814.160643914134,814.245233873431,634.286344689772,633.954710546633,634.471796461996,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"7382",814.259227740359,814.256555565923,814.260441287001,892.9037308583,891.321191083795,893.679181016602,33,0,1,0,0,1,0,0,5,0,1,2,1,0,0,1,1,0,0,0,1,1,1,0,3,0,1,1,4,1,1,1,2,0,0,2,0,1,0,0,0,0
"7383",814.487355492987,814.486725790297,814.500716126992,776.252310416686,774.662530668456,777.137652427871,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0
"7384",814.410432498127,814.354745113741,814.428876206539,622.823728217344,603.551639813288,636.805564640416,8,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0
"7385",814.540621969865,814.516078852008,814.547131236454,1015.07380714214,1014.02086936403,1016.09513373661,126,3,7,1,1,2,2,0,23,2,1,13,3,2,1,1,2,2,1,3,2,3,3,2,10,3,2,0,3,3,2,1,1,2,6,4,2,1,2,2,0,2
"7386",814.630498344704,814.630146446402,814.631346879693,830.76339985231,829.221472385666,831.96987170118,11,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"7387",814.654166773984,814.565396881235,814.689194482403,1259.06487470498,1226.53839564317,1263.64313721958,206,3,10,3,3,3,3,3,25,3,2,24,3,3,3,3,3,3,3,3,3,3,3,3,15,3,3,3,8,8,3,3,3,3,8,8,3,3,3,3,3,3
"7388",814.650276916743,814.530585788617,814.689117990843,1107.60300151355,1100.13988244942,1130.75146886615,204,3,10,3,3,3,3,3,25,3,3,24,3,2,3,3,3,3,3,3,3,3,3,3,15,3,3,3,8,7,3,3,3,3,8,8,3,3,3,3,3,3
"7389",815.100591113041,815.074517805779,815.195670540197,32.1738579202244,16.0094809648914,37.4850616770414,27,0,0,1,0,0,0,1,0,0,1,7,2,0,0,1,2,0,0,0,0,1,0,0,1,0,0,2,1,0,0,2,1,0,0,0,0,0,1,1,0,2
